iter	RMSE
311	1169.558807
312	1169.54254
313	1168.859628
314	1168.151339
315	1167.449498
316	1166.71985
317	1166.633779
318	1166.623617
319	1166.474895
320	1166.205635
321	1165.253688
322	1164.839156
323	1164.461396
324	1163.855178
325	1163.594261
326	1163.031241
327	1162.084539
328	1161.695337
329	1161.345672
330	1160.885097
331	1160.140672
332	1159.149289
333	1158.608416
334	1157.652387
335	1157.227478
336	1156.68023
337	1156.65377
338	1156.627814
339	1156.292347
340	1156.197134
341	1156.172156
342	1155.737593
343	1155.574405
344	1155.538856
345	1155.143926
346	1154.774206
347	1153.897965
348	1153.436593
349	1152.823288
350	1152.813905
351	1152.298541
352	1151.783435
353	1151.510362
354	1151.468406
355	1150.666711
356	1150.399312
357	1150.139965
358	1149.92299
359	1149.585092
360	1149.483979
361	1149.41505
362	1148.298803
363	1147.756277
364	1147.20894
365	1147.095143
366	1146.370549
367	1146.044401
368	1146.023602
369	1145.950348
370	1145.64289
371	1145.207385
372	1145.199073
373	1144.844129
374	1144.796583
375	1144.246561
376	1144.124525
377	1143.844144
378	1143.504599
379	1142.864656
380	1142.735271
381	1142.206358
382	1141.494624
383	1141.036314
384	1140.761937
385	1140.125723
386	1139.909002
387	1139.636973
388	1138.877051
389	1138.12911
390	1137.694136
391	1137.304073
392	1136.767184
393	1136.117645
394	1135.926446
395	1135.438537
396	1135.34719
397	1134.65702
398	1134.59224
399	1134.161295
400	1133.939288
401	1133.453183
402	1133.279381
403	1133.015273
404	1132.393105
405	1132.091393
406	1131.552629
407	1131.121614
408	1130.528852
409	1130.278967
410	1130.250388
411	1130.117362
412	1129.535321
413	1129.346957
414	1129.275854
415	1128.834187
416	1128.584298
417	1128.317054
418	1128.166222
419	1128.044019
420	1127.814421
421	1127.555725
422	1127.180155
423	1126.797766
424	1126.656973
425	1126.344838
426	1125.587797
427	1125.252428
428	1125.198187
429	1124.729468
430	1124.340506
431	1124.076644
432	1123.832313
433	1123.656331
434	1123.372163
435	1123.040764
436	1123.000341
437	1122.555842
438	1122.33095
439	1122.304712
440	1122.172152
441	1122.004444
442	1120.843458
443	1120.221471
444	1119.868777
445	1119.579351
446	1119.574878
447	1119.283238
448	1119.13675
449	1118.999039
450	1118.622934
451	1118.462183
452	1118.069972
453	1117.837495
454	1117.744084
455	1117.324744
456	1117.038555
457	1116.693324
458	1116.602906
459	1116.15279
460	1115.566838
461	1115.465529
462	1115.283195
463	1114.834076
464	1114.651633
465	1114.644714
466	1114.345224
467	1113.870393
468	1113.865329
469	1113.687901
470	1113.641753
471	1113.294796
472	1112.974747
473	1112.713886
474	1112.403302
475	1112.280193
476	1112.23494
477	1112.037251
478	1111.992732
479	1111.406362
480	1111.140426
481	1111.127932
482	1111.088118
483	1111.07031
484	1110.871489
485	1110.670397
486	1110.596671
487	1110.38744
488	1110.078726
489	1109.549234
490	1109.482693
491	1109.400313
492	1109.275049
493	1108.925762
494	1108.878458
495	1108.624269
496	1108.164902
497	1108.098266
498	1107.983212
499	1107.913302
